date,event,count
2020-01-01,repositories,31734
2020-01-01,code,34249
2020-01-01,users,20653
2020-01-01,pr,36037
2020-01-01,issue,13299
2020-01-01,commits,43892
2020-01-01,topics,343
2020-01-02,repositories,52661
2020-01-02,code,23088
2020-01-02,users,32814
2020-01-02,pr,59780
2020-01-02,issue,25081
2020-01-02,commits,2350
2020-01-02,topics,454
2020-01-03,repositories,53772
2020-01-03,code,16516
2020-01-03,users,32092
2020-01-03,pr,66818
2020-01-03,issue,25682
2020-01-03,commits,2223
2020-01-03,topics,426
2020-01-04,repositories,44052
2020-01-04,code,19899
2020-01-04,users,26094
2020-01-04,pr,41112
2020-01-04,issue,17254
2020-01-04,commits,1098
2020-01-04,topics,399
2020-01-05,repositories,44155
2020-01-05,code,13514
2020-01-05,users,25029
2020-01-05,pr,38142
2020-01-05,issue,18143
2020-01-05,commits,1014
2020-01-05,topics,372
2020-01-06,repositories,61271
2020-01-06,code,23238
2020-01-06,users,40476
2020-01-06,pr,83397
2020-01-06,issue,29386
2020-01-06,commits,1494
2020-01-06,topics,477
2020-01-07,repositories,67091
2020-01-07,code,17816
2020-01-07,users,41372
2020-01-07,pr,86960
2020-01-07,issue,31538
2020-01-07,commits,1837
2020-01-07,topics,628
2020-01-08,repositories,66841
2020-01-08,code,16839
2020-01-08,users,41044
2020-01-08,pr,89943
2020-01-08,issue,33531
2020-01-08,commits,1666
2020-01-08,topics,508
2020-01-09,repositories,70264
2020-01-09,code,23142
2020-01-09,users,40040
2020-01-09,pr,97174
2020-01-09,issue,34428
2020-01-09,commits,1644
2020-01-09,topics,500
2020-01-10,repositories,62250
2020-01-10,code,22215
2020-01-10,users,36392
2020-01-10,pr,86634
2020-01-10,issue,32061
2020-01-10,commits,2115
2020-01-10,topics,544
2020-01-11,repositories,46468
2020-01-11,code,14254
2020-01-11,users,28351
2020-01-11,pr,44166
2020-01-11,issue,19162
2020-01-11,commits,1508
2020-01-11,topics,323
2020-01-12,repositories,47733
2020-01-12,code,15181
2020-01-12,users,27633
2020-01-12,pr,46040
2020-01-12,issue,19149
2020-01-12,commits,1502
2020-01-12,topics,372
2020-01-13,repositories,67845
2020-01-13,code,19034
2020-01-13,users,41603
2020-01-13,pr,103598
2020-01-13,issue,32363
2020-01-13,commits,1773
2020-01-13,topics,466
2020-01-14,repositories,70198
2020-01-14,code,21377
2020-01-14,users,41867
2020-01-14,pr,92834
2020-01-14,issue,40326
2020-01-14,commits,2064
2020-01-14,topics,486
2020-01-15,repositories,70179
2020-01-15,code,32164
2020-01-15,users,41017
2020-01-15,pr,90381
2020-01-15,issue,35150
2020-01-15,commits,1822
2020-01-15,topics,498
2020-01-16,repositories,70374
2020-01-16,code,18695
2020-01-16,users,40556
2020-01-16,pr,90944
2020-01-16,issue,34711
2020-01-16,commits,1913
2020-01-16,topics,495
2020-01-17,repositories,65501
2020-01-17,code,24187
2020-01-17,users,36196
2020-01-17,pr,84918
2020-01-17,issue,31883
2020-01-17,commits,1617
2020-01-17,topics,557
2020-01-18,repositories,48444
2020-01-18,code,13185
2020-01-18,users,28030
2020-01-18,pr,45926
2020-01-18,issue,18357
2020-01-18,commits,1443
2020-01-18,topics,322
2020-01-19,repositories,50458
2020-01-19,code,21470
2020-01-19,users,28008
2020-01-19,pr,46570
2020-01-19,issue,21141
2020-01-19,commits,1317
2020-01-19,topics,392
2020-01-20,repositories,66975
2020-01-20,code,33982
2020-01-20,users,38478
2020-01-20,pr,85308
2020-01-20,issue,31059
2020-01-20,commits,1753
2020-01-20,topics,509
2020-01-21,repositories,69899
2020-01-21,code,30678
2020-01-21,users,41188
2020-01-21,pr,112058
2020-01-21,issue,34251
2020-01-21,commits,1700
2020-01-21,topics,538
2020-01-22,repositories,69184
2020-01-22,code,17167
2020-01-22,users,39706
2020-01-22,pr,98461
2020-01-22,issue,33571
2020-01-22,commits,1582
2020-01-22,topics,525
2020-01-23,repositories,67586
2020-01-23,code,18480
2020-01-23,users,37349
2020-01-23,pr,87442
2020-01-23,issue,33291
2020-01-23,commits,1684
2020-01-23,topics,507
2020-01-24,repositories,58687
2020-01-24,code,17967
2020-01-24,users,32678
2020-01-24,pr,78357
2020-01-24,issue,29653
2020-01-24,commits,2133
2020-01-24,topics,449
2020-01-25,repositories,45983
2020-01-25,code,9670
2020-01-25,users,25770
2020-01-25,pr,44158
2020-01-25,issue,19689
2020-01-25,commits,1053
2020-01-25,topics,334
2020-01-26,repositories,49406
2020-01-26,code,11926
2020-01-26,users,25109
2020-01-26,pr,45806
2020-01-26,issue,21240
2020-01-26,commits,1129
2020-01-26,topics,368
2020-01-27,repositories,70197
2020-01-27,code,32379
2020-01-27,users,38844
2020-01-27,pr,95571
2020-01-27,issue,33617
2020-01-27,commits,1581
2020-01-27,topics,525
2020-01-28,repositories,76565
2020-01-28,code,29289
2020-01-28,users,39626
2020-01-28,pr,116965
2020-01-28,issue,34028
2020-01-28,commits,1609
2020-01-28,topics,509
2020-01-29,repositories,75465
2020-01-29,code,17647
2020-01-29,users,39314
2020-01-29,pr,92601
2020-01-29,issue,34437
2020-01-29,commits,1631
2020-01-29,topics,437
2020-01-30,repositories,68115
2020-01-30,code,17670
2020-01-30,users,37393
2020-01-30,pr,94465
2020-01-30,issue,34131
2020-01-30,commits,1640
2020-01-30,topics,479
2020-01-31,repositories,64962
2020-01-31,code,16381
2020-01-31,users,34995
2020-01-31,pr,93966
2020-01-31,issue,31040
2020-01-31,commits,2170
2020-01-31,topics,405
2020-02-01,repositories,51835
2020-02-01,code,14255
2020-02-01,users,28439
2020-02-01,pr,57970
2020-02-01,issue,18704
2020-02-01,commits,2350
2020-02-01,topics,367
2020-02-02,repositories,52312
2020-02-02,code,15674
2020-02-02,users,27794
2020-02-02,pr,49486
2020-02-02,issue,19025
2020-02-02,commits,41904
2020-02-02,topics,456
2020-02-03,repositories,71170
2020-02-03,code,20658
2020-02-03,users,42811
2020-02-03,pr,97011
2020-02-03,issue,32706
2020-02-03,commits,2863
2020-02-03,topics,418
2020-02-04,repositories,73928
2020-02-04,code,21686
2020-02-04,users,43038
2020-02-04,pr,94490
2020-02-04,issue,34430
2020-02-04,commits,1608
2020-02-04,topics,544
2020-02-05,repositories,74508
2020-02-05,code,19332
2020-02-05,users,41351
2020-02-05,pr,96391
2020-02-05,issue,35024
2020-02-05,commits,1499
2020-02-05,topics,524
2020-02-06,repositories,72887
2020-02-06,code,19595
2020-02-06,users,40575
2020-02-06,pr,91886
2020-02-06,issue,35950
2020-02-06,commits,1362
2020-02-06,topics,484
2020-02-07,repositories,67975
2020-02-07,code,15542
2020-02-07,users,36998
2020-02-07,pr,85828
2020-02-07,issue,33507
2020-02-07,commits,2230
2020-02-07,topics,546
2020-02-08,repositories,53800
2020-02-08,code,13437
2020-02-08,users,28984
2020-02-08,pr,52642
2020-02-08,issue,20228
2020-02-08,commits,1165
2020-02-08,topics,416
2020-02-09,repositories,55377
2020-02-09,code,13818
2020-02-09,users,28506
2020-02-09,pr,49410
2020-02-09,issue,21549
2020-02-09,commits,1265
2020-02-09,topics,449
2020-02-10,repositories,77071
2020-02-10,code,17685
2020-02-10,users,42348
2020-02-10,pr,95015
2020-02-10,issue,35462
2020-02-10,commits,1897
2020-02-10,topics,543
2020-02-11,repositories,78152
2020-02-11,code,18807
2020-02-11,users,41998
2020-02-11,pr,129574
2020-02-11,issue,36536
2020-02-11,commits,1897
2020-02-11,topics,654
2020-02-12,repositories,76394
2020-02-12,code,21498
2020-02-12,users,40877
2020-02-12,pr,147559
2020-02-12,issue,37205
2020-02-12,commits,2130
2020-02-12,topics,614
2020-02-13,repositories,75334
2020-02-13,code,19067
2020-02-13,users,39419
2020-02-13,pr,94205
2020-02-13,issue,37305
