date,event,count
2020-01-01,repositories,124
2020-01-01,code,75
2020-01-01,users,32
2020-01-01,pr,85
2020-01-01,issue,87
2020-01-01,commits,65
2020-01-01,topics,0
2020-01-02,repositories,230
2020-01-02,code,11
2020-01-02,users,32
2020-01-02,pr,116
2020-01-02,issue,193
2020-01-02,commits,14
2020-01-02,topics,0
2020-01-03,repositories,211
2020-01-03,code,2
2020-01-03,users,16
2020-01-03,pr,192
2020-01-03,issue,190
2020-01-03,commits,14
2020-01-03,topics,0
2020-01-04,repositories,164
2020-01-04,code,2
2020-01-04,users,26
2020-01-04,pr,96
2020-01-04,issue,103
2020-01-04,commits,4
2020-01-04,topics,0
2020-01-05,repositories,135
2020-01-05,code,28
2020-01-05,users,31
2020-01-05,pr,64
2020-01-05,issue,112
2020-01-05,commits,7
2020-01-05,topics,0
2020-01-06,repositories,291
2020-01-06,code,6
2020-01-06,users,82
2020-01-06,pr,224
2020-01-06,issue,286
2020-01-06,commits,4
2020-01-06,topics,0
2020-01-07,repositories,305
2020-01-07,code,8
2020-01-07,users,110
2020-01-07,pr,219
2020-01-07,issue,281
2020-01-07,commits,9
2020-01-07,topics,0
2020-01-08,repositories,230
2020-01-08,code,8
2020-01-08,users,61
2020-01-08,pr,214
2020-01-08,issue,282
2020-01-08,commits,11
2020-01-08,topics,0
2020-01-09,repositories,383
2020-01-09,code,3
2020-01-09,users,79
2020-01-09,pr,236
2020-01-09,issue,302
2020-01-09,commits,10
2020-01-09,topics,0
2020-01-10,repositories,285
2020-01-10,code,3
2020-01-10,users,48
2020-01-10,pr,193
2020-01-10,issue,307
2020-01-10,commits,26
2020-01-10,topics,0
2020-01-11,repositories,178
2020-01-11,code,11
2020-01-11,users,29
2020-01-11,pr,83
2020-01-11,issue,137
2020-01-11,commits,21
2020-01-11,topics,0
2020-01-12,repositories,189
2020-01-12,code,6
2020-01-12,users,47
2020-01-12,pr,109
2020-01-12,issue,111
2020-01-12,commits,22
2020-01-12,topics,0
2020-01-13,repositories,295
2020-01-13,code,13
2020-01-13,users,69
2020-01-13,pr,234
2020-01-13,issue,250
2020-01-13,commits,11
2020-01-13,topics,0
2020-01-14,repositories,287
2020-01-14,code,7
2020-01-14,users,72
2020-01-14,pr,229
2020-01-14,issue,315
2020-01-14,commits,9
2020-01-14,topics,0
2020-01-15,repositories,329
2020-01-15,code,15
2020-01-15,users,81
2020-01-15,pr,249
2020-01-15,issue,298
2020-01-15,commits,10
2020-01-15,topics,0
2020-01-16,repositories,349
2020-01-16,code,9
2020-01-16,users,86
2020-01-16,pr,267
2020-01-16,issue,322
2020-01-16,commits,10
2020-01-16,topics,0
2020-01-17,repositories,271
2020-01-17,code,11
2020-01-17,users,62
2020-01-17,pr,325
2020-01-17,issue,327
2020-01-17,commits,12
2020-01-17,topics,0
2020-01-18,repositories,188
2020-01-18,code,0
2020-01-18,users,31
2020-01-18,pr,137
2020-01-18,issue,135
2020-01-18,commits,8
2020-01-18,topics,0
2020-01-19,repositories,175
2020-01-19,code,5
2020-01-19,users,22
2020-01-19,pr,118
2020-01-19,issue,93
2020-01-19,commits,11
2020-01-19,topics,0
2020-01-20,repositories,224
2020-01-20,code,19
2020-01-20,users,48
2020-01-20,pr,191
2020-01-20,issue,267
2020-01-20,commits,13
2020-01-20,topics,0
2020-01-21,repositories,257
2020-01-21,code,18
2020-01-21,users,51
2020-01-21,pr,239
2020-01-21,issue,359
2020-01-21,commits,4
2020-01-21,topics,0
2020-01-22,repositories,330
2020-01-22,code,17
2020-01-22,users,106
2020-01-22,pr,226
2020-01-22,issue,277
2020-01-22,commits,6
2020-01-22,topics,0
2020-01-23,repositories,358
2020-01-23,code,9
2020-01-23,users,64
2020-01-23,pr,280
2020-01-23,issue,323
2020-01-23,commits,6
2020-01-23,topics,0
2020-01-24,repositories,338
2020-01-24,code,16
2020-01-24,users,59
2020-01-24,pr,218
2020-01-24,issue,317
2020-01-24,commits,6
2020-01-24,topics,0
2020-01-25,repositories,174
2020-01-25,code,3
2020-01-25,users,27
2020-01-25,pr,92
2020-01-25,issue,122
2020-01-25,commits,5
2020-01-25,topics,0
2020-01-26,repositories,173
2020-01-26,code,3
2020-01-26,users,27
2020-01-26,pr,112
2020-01-26,issue,114
2020-01-26,commits,5
2020-01-26,topics,0
2020-01-27,repositories,898
2020-01-27,code,9
2020-01-27,users,53
2020-01-27,pr,214
2020-01-27,issue,338
2020-01-27,commits,11
2020-01-27,topics,0
2020-01-28,repositories,502
2020-01-28,code,11
2020-01-28,users,70
2020-01-28,pr,226
2020-01-28,issue,298
2020-01-28,commits,6
2020-01-28,topics,0
2020-01-29,repositories,667
2020-01-29,code,27
2020-01-29,users,72
2020-01-29,pr,231
2020-01-29,issue,245
2020-01-29,commits,8
2020-01-29,topics,0
2020-01-30,repositories,346
2020-01-30,code,12
2020-01-30,users,63
2020-01-30,pr,216
2020-01-30,issue,320
2020-01-30,commits,8
2020-01-30,topics,0
2020-01-31,repositories,291
2020-01-31,code,9
2020-01-31,users,42
2020-01-31,pr,325
2020-01-31,issue,307
2020-01-31,commits,7
2020-01-31,topics,0
2020-02-01,repositories,204
2020-02-01,code,6
2020-02-01,users,21
2020-02-01,pr,156
2020-02-01,issue,131
2020-02-01,commits,14
2020-02-01,topics,0
2020-02-02,repositories,213
2020-02-02,code,13
2020-02-02,users,36
2020-02-02,pr,116
2020-02-02,issue,128
2020-02-02,commits,53
2020-02-02,topics,0
2020-02-03,repositories,327
2020-02-03,code,12
2020-02-03,users,51
2020-02-03,pr,254
2020-02-03,issue,323
2020-02-03,commits,13
2020-02-03,topics,0
2020-02-04,repositories,368
2020-02-04,code,18
2020-02-04,users,63
2020-02-04,pr,282
2020-02-04,issue,339
2020-02-04,commits,10
2020-02-04,topics,0
2020-02-05,repositories,331
2020-02-05,code,9
2020-02-05,users,52
2020-02-05,pr,280
2020-02-05,issue,303
2020-02-05,commits,12
2020-02-05,topics,0
2020-02-06,repositories,383
2020-02-06,code,13
2020-02-06,users,59
2020-02-06,pr,270
2020-02-06,issue,366
2020-02-06,commits,5
2020-02-06,topics,0
2020-02-07,repositories,345
2020-02-07,code,11
2020-02-07,users,50
2020-02-07,pr,242
2020-02-07,issue,298
2020-02-07,commits,6
2020-02-07,topics,0
2020-02-08,repositories,218
2020-02-08,code,5
2020-02-08,users,41
2020-02-08,pr,123
2020-02-08,issue,143
2020-02-08,commits,25
2020-02-08,topics,0
2020-02-09,repositories,218
2020-02-09,code,16
2020-02-09,users,37
2020-02-09,pr,108
2020-02-09,issue,161
2020-02-09,commits,4
2020-02-09,topics,0
2020-02-10,repositories,378
2020-02-10,code,7
2020-02-10,users,45
2020-02-10,pr,225
2020-02-10,issue,306
2020-02-10,commits,17
2020-02-10,topics,0
2020-02-11,repositories,374
2020-02-11,code,8
2020-02-11,users,44
2020-02-11,pr,242
2020-02-11,issue,290
2020-02-11,commits,12
2020-02-11,topics,0
2020-02-12,repositories,341
2020-02-12,code,8
2020-02-12,users,37
2020-02-12,pr,315
2020-02-12,issue,428
2020-02-12,commits,15
2020-02-12,topics,0
2020-02-13,repositories,331
2020-02-13,code,16
2020-02-13,users,35
2020-02-13,pr,301
2020-02-13,issue,328
2020-02-13,commits,7
2020-02-13,topics,0
2020-02-14,repositories,265
2020-02-14,code,12
2020-02-14,users,29
2020-02-14,pr,248
2020-02-14,issue,279
2020-02-14,commits,5
2020-02-14,topics,0
2020-02-15,repositories,174
2020-02-15,code,11
2020-02-15,users,19
2020-02-15,pr,123
2020-02-15,issue,96
2020-02-15,commits,6
2020-02-15,topics,0
2020-02-16,repositories,227
2020-02-16,code,5
2020-02-16,users,27
2020-02-16,pr,114
2020-02-16,issue,130
2020-02-16,commits,6
2020-02-16,topics,0
2020-02-17,repositories,301
2020-02-17,code,19
2020-02-17,users,39
2020-02-17,pr,213
2020-02-17,issue,299
2020-02-17,commits,11
2020-02-17,topics,0
2020-02-18,repositories,357
2020-02-18,code,11
2020-02-18,users,58
2020-02-18,pr,325
2020-02-18,issue,331
2020-02-18,commits,10
2020-02-18,topics,0
2020-02-19,repositories,339
2020-02-19,code,11
2020-02-19,users,48
2020-02-19,pr,291
2020-02-19,issue,375
2020-02-19,commits,9
2020-02-19,topics,0
2020-02-20,repositories,323
2020-02-20,code,10
2020-02-20,users,69
2020-02-20,pr,306
2020-02-20,issue,338
2020-02-20,commits,9
2020-02-20,topics,0
2020-02-21,repositories,288
2020-02-21,code,7
2020-02-21,users,50
2020-02-21,pr,248
2020-02-21,issue,356
2020-02-21,commits,8
2020-02-21,topics,0
2020-02-22,repositories,240
2020-02-22,code,2
2020-02-22,users,23
2020-02-22,pr,119
2020-02-22,issue,142
2020-02-22,commits,7
2020-02-22,topics,0
2020-02-23,repositories,215
2020-02-23,code,6
2020-02-23,users,33
2020-02-23,pr,136
2020-02-23,issue,155
2020-02-23,commits,5
2020-02-23,topics,0
2020-02-24,repositories,292
2020-02-24,code,10
2020-02-24,users,45
2020-02-24,pr,297
2020-02-24,issue,285
2020-02-24,commits,4
2020-02-24,topics,0
2020-02-25,repositories,306
2020-02-25,code,19
2020-02-25,users,24
2020-02-25,pr,252
2020-02-25,issue,338
2020-02-25,commits,6
2020-02-25,topics,0
2020-02-26,repositories,362
2020-02-26,code,7
2020-02-26,users,36
2020-02-26,pr,285
2020-02-26,issue,393
2020-02-26,commits,5
2020-02-26,topics,0
2020-02-27,repositories,309
2020-02-27,code,5
2020-02-27,users,30
2020-02-27,pr,272
2020-02-27,issue,374
2020-02-27,commits,13
2020-02-27,topics,0
2020-02-28,repositories,308
2020-02-28,code,7
2020-02-28,users,27
2020-02-28,pr,305
2020-02-28,issue,323
2020-02-28,commits,4
2020-02-28,topics,0
2020-02-29,repositories,264
2020-02-29,code,12
2020-02-29,users,27
2020-02-29,pr,240
2020-02-29,issue,165
2020-02-29,commits,4
2020-02-29,topics,0
2020-03-01,repositories,206
2020-03-01,code,13
2020-03-01,users,22
2020-03-01,pr,137
2020-03-01,issue,113
2020-03-01,commits,14
2020-03-01,topics,0
2020-03-02,repositories,307
2020-03-02,code,11
2020-03-02,users,42
2020-03-02,pr,255
2020-03-02,issue,406
2020-03-02,commits,13
2020-03-02,topics,0
2020-03-03,repositories,416
2020-03-03,code,15
2020-03-03,users,40
2020-03-03,pr,280
2020-03-03,issue,417
2020-03-03,commits,38
2020-03-03,topics,0
2020-03-04,repositories,329
2020-03-04,code,18
2020-03-04,users,45
2020-03-04,pr,311
2020-03-04,issue,368
2020-03-04,commits,11
2020-03-04,topics,0
2020-03-05,repositories,345
2020-03-05,code,8
2020-03-05,users,38
2020-03-05,pr,302
2020-03-05,issue,367
2020-03-05,commits,6
2020-03-05,topics,0
2020-03-06,repositories,386
2020-03-06,code,12
2020-03-06,users,61
2020-03-06,pr,267
2020-03-06,issue,356
2020-03-06,commits,5
2020-03-06,topics,0
2020-03-07,repositories,225
2020-03-07,code,8
2020-03-07,users,24
2020-03-07,pr,220
2020-03-07,issue,147
2020-03-07,commits,5
2020-03-07,topics,0
2020-03-08,repositories,217
2020-03-08,code,13
2020-03-08,users,28
2020-03-08,pr,146
2020-03-08,issue,136
2020-03-08,commits,8
2020-03-08,topics,0
2020-03-09,repositories,365
2020-03-09,code,21
2020-03-09,users,34
2020-03-09,pr,271
2020-03-09,issue,357
2020-03-09,commits,8
2020-03-09,topics,0
2020-03-10,repositories,351
2020-03-10,code,16
2020-03-10,users,29
2020-03-10,pr,289
2020-03-10,issue,384
2020-03-10,commits,15
2020-03-10,topics,0
2020-03-11,repositories,348
2020-03-11,code,20
2020-03-11,users,25
2020-03-11,pr,267
2020-03-11,issue,367
2020-03-11,commits,17
2020-03-11,topics,0
2020-03-12,repositories,321
2020-03-12,code,15
